soil_series,texture,slope,erosion,drainage,soil_region,corn_base,soybeans_base,wheat_base,oats_base,hay_base,prod_index
BROOKSIDE,SICL,12-20,S,W,3,80,21,34,51,3.8,56
BROOKSIDE,SICL,15-25,S,W,3,70,0,33,50,3.2,51
BROOKSIDE,SICL,18-25,S,W,3,70,0,33,50,3.2,51
"BROOKSIDE-VANDALIA,C",,8-15,S,W,2,88,22,35,56,3.8,59
"BROOKSIDE-VANDALIA,C",,15-25,S,W,3,80,21,33,53,3.6,55
"BROOKSIDE-VANDALIA,C",,15-25,M,W,3,80,0,25,45,3,50
BROOKSTON,SIL,0-2,S,VP,2,136,47,54,78,5.8,92
BROOKSTON,CL,0-2,S,VP,2,132,46,52,76,5.6,89
BROOKSTON,SICL,0-2,S,VP,2,132,46,52,76,5.6,89
BROOKSTON,SICL,2-6,S,VP,2,127,44,50,73,5.4,86
"BROOKSTON,OV-PH",SIL,0-2,S,VP,2,115,40,45,80,4.5,77
BROUGHTON,SIC,6-12,SE,MW,3,0,0,0,0,2,33
BROUGHTON,SIC,12-18,SE,MW,3,0,0,0,0,0,0
BROUGHTON,SICL,2-6,S,MW,3,80,30,32,50,3.4,55
BROUGHTON,SICL,2-6,M,MW,3,77,29,31,48,3.3,53
BROUGHTON,SICL,6-12,M,MW,3,73,28,29,46,3.1,50
BROUGHTON,SICL,12-18,M,MW,3,0,0,0,0,1.8,30
BROUGHTON,C,2-6,M,MW,3,75,28,30,47,3.2,52
BROUGHTON,C,6-12,M,MW,3,71,27,28,45,3,49
BROUGHTON,C,6-12,SE,MW,3,0,0,0,0,2,33
BROUGHTON,C,12-18,M,MW,3,0,0,0,0,1.8,30
BROUGHTON,C,18-25,SE,MW,3,0,0,0,0,0,0
BROWNSVILLE,CN-SIL,6-12,S,W,3,82,17,35,62,2.9,51
BROWNSVILLE,CN-SIL,12-18,S,W,3,78,16,33,60,2.7,49
BROWNSVILLE,CN-SIL,15-25,S,W,3,75,0,30,55,2.5,47
BROWNSVILLE,CN-SIL,18-25,S,W,3,70,0,25,55,2.5,45
"BROWNSVILLE-WESTMORELAND,C",,18-25,S,W,3,0,0,0,60,3,52
BRUSHCREEK,SIL,6-12,M,MW,2,90,30,35,60,4,63
"BRUSHCREEK-LAWSHE,C",,12-25,M,MW,3,0,0,0,0,2.6,43
CALCUTTA,SIL,0-3,S,SWP,2,100,31,39,62,4,66
CAMBRIDGE,SIL,2-6,S,MW,2,96,34,36,80,3.6,64
CAMBRIDGE,SIL,2-6,M,MW,2,92,32,34,76,3.6,62
CAMBRIDGE,SIL,6-12,S,MW,2,92,33,35,77,3.5,62
CAMBRIDGE,SIL,6-12,M,MW,2,88,31,33,73,3.5,60
CAMBRIDGE,SIL,12-18,S,MW,3,84,29,30,67,3.2,56
CAMBRIDGE,SIL,12-18,M,MW,3,81,29,30,67,3.2,55
"CAMBRIDGE,SS-SUBST",SIL,2-6,S,MW,2,96,34,36,80,3.6,64
"CAMBRIDGE,SS-SUBST",SIL,6-12,M,MW,2,88,31,33,73,3.5,60
CANA,SIL,2-6,S,MW,2,108,34,48,74,4.4,73
CANA,SIL,2-6,M,MW,2,104,30,46,70,4.2,70
CANA,SIL,6-12,M,MW,2,98,31,44,68,4,67
CANA,SIL,12-18,M,MW,3,88,28,40,62,3.7,61
CANA,SIL,12-20,M,MW,3,87,28,40,61,3.7,61
