county,res_ag_gross_millage,res_ag_net_millage,public_gross_millage,public_net_millage,tangible_millage,year
lorain,69.14,50.59,68.93,52.56,68.56,1991
lucas,77.82,53.47,75.07,55.75,73.24,1991
madison,50.41,45.78,52.11,45.75,50.31,1991
mahoning,65.93,53.15,66.67,57.81,66.24,1991
marion,58.81,46.76,58.74,46.55,58.43,1991
medina,76.76,50,78.15,55.79,75.44,1991
meigs,37.94,34.08,38.15,35.24,37.27,1991
mercer,45.1,39.9,43.72,37.92,44.84,1991
miami,56.37,36.37,56.99,39.89,57.03,1991
monroe,45.53,34.89,44.85,39.18,70.65,1991
montgomery,74.68,50.02,72.16,52.6,71.5,1991
morgan,43.58,35.21,42.5,33.45,42.02,1991
morrow,55.66,48.82,58.66,48.24,57.93,1991
muskingum,56.75,39.89,57.15,41.72,56.93,1991
noble,41.97,38.69,42.17,39.34,41.42,1991
ottawa,59.03,36.96,55,35.67,43.6,1991
paulding,56.61,52.62,59.75,51.71,56.5,1991
perry,56.55,45.39,57.44,47.36,56.73,1991
pickaway,47.57,39.67,48.29,41.06,46.71,1991
pike,54.36,42.62,60.51,45.68,54.53,1991
portage,76.37,51.09,79.19,58.34,76.4,1991
preble,47.9,42.39,49.38,38.27,48.53,1991
putnam,47.71,43.63,44.92,40.59,45.36,1991
richland,61.22,48.46,60.17,47.04,59.9,1991
ross,53.21,41.99,54.99,42.66,54.03,1991
sandusky,51.06,42.49,49.46,43.95,50.21,1991
scioto,53.09,42.7,55.58,46.38,52.47,1991
seneca,51.21,41.19,52.11,45.08,51.98,1991
shelby,45.33,35.21,45.66,34.63,42.09,1991
stark,61.98,44.7,61.24,43.89,60.13,1991
summit,70.31,50.8,68.22,47.39,68.21,1991
trumbull,59.35,48.78,56.85,48.27,57.37,1991
tuscarawas,51.67,40.01,52.21,43.97,51.36,1991
union,54.27,47.28,52.01,45.02,50.88,1991
van wert,55.81,47.32,57.21,48.36,56.8,1991
vinton,39.12,37.27,39.56,37.88,37.89,1991
warren,62.3,43.53,61.11,43.25,62.24,1991
washington,44.95,36.95,44.87,38.99,44.81,1991
wayne,60.01,45.87,62.41,46.78,61.24,1991
williams,62.32,45.44,62.95,47.1,62.57,1991
wood,67.2,49.62,66.4,53.17,64.69,1991
wyandot,49.98,40.08,50.68,38.26,50.13,1991
adams,39.46,38.83,36.61,35.15,35.49,1992
allen,49.79,41.38,48.52,41.87,48.59,1992
ashland,58.61,45.48,57.84,45.48,57.65,1992
ashtabula,63.04,48.57,64.22,50.02,63.86,1992
athens,73.74,52.06,77.32,54.46,70.79,1992
auglaize,51.1,43.16,50.31,43.64,50.36,1992
belmont,52.41,42.7,50.57,42.57,50.65,1992
brown,48.49,41.67,50.22,42.98,48.29,1992
butler,57.58,41.59,56.59,42.2,53.6,1992
carroll,48.14,36.58,50.12,36.38,47.74,1992
champaign,52.94,40.26,56.86,41.96,53.05,1992
clark,62.72,46.16,64.24,49.76,63.21,1992
clermont,66.48,44.51,64.49,44.75,62.17,1992
clinton,51.74,45.3,53.17,46.74,51.86,1992
columbiana,57.36,47.32,59.3,46.73,58.43,1992
coshocton,49.96,40.19,50.34,39.85,44.82,1992
crawford,62.75,47.05,63.2,46.8,62.07,1992
cuyahoga,91.13,54.58,83.11,61.17,80.4,1992
darke,45.81,39.51,47.26,38.53,46.41,1992
defiance,51.6,44.15,51.32,43.18,51.33,1992
delaware,59.42,48.61,58.73,47.27,58.1,1992
erie,70.87,44.36,70.67,48.63,70.05,1992
fairfield,70.36,45.34,71.42,44.54,66.59,1992
fayette,47.49,40.59,51.33,42.23,46.98,1992
franklin,77.51,55.5,73.53,54.32,73.2,1992
fulton,63.31,49.26,61.88,46.29,62.05,1992
gallia,38.75,35.25,37.88,35.11,35.84,1992
geauga,81.5,50.77,81.39,55.64,79.09,1992
greene,68.14,44.81,66.75,44.14,65.85,1992
guernsey,53.88,45.21,54.41,47.83,52.37,1992
hamilton,75.4,51.93,73.7,56.64,70.22,1992
hancock,51.88,42.07,52.79,43.71,49.74,1992
hardin,NA,NA,NA,NA,52.58,1992
harrison,57.77,46.6,60.86,53.11,73.14,1992
henry,57.87,51.96,57.26,50.3,58.19,1992
highland,43.72,37.08,43.1,35.57,44.24,1992
hocking,56.59,44.72,56.54,43.85,56.29,1992
holmes,49.48,43.41,51.11,44.26,50.39,1992
huron,57.18,39.01,58.97,42.01,58.23,1992
jackson,41.8,39.07,43.02,40.28,40.6,1992
jefferson,46.18,34.9,44.96,39.92,43.28,1992
knox,56.26,46.19,53.77,45.98,53.67,1992
lake,77.97,47.18,74.71,49.03,72.96,1992
lawrence,39.82,36.81,40.69,37.02,39.38,1992
licking,56.85,42.61,54.67,44.09,53.66,1992
logan,52.12,38.38,54.83,41.54,51.12,1992
lorain,68.36,46.04,68.33,50.54,67.78,1992
lucas,80.96,53.86,78.64,58.59,76.93,1992
madison,54.22,47.77,57.22,51.02,54.3,1992
mahoning,67.61,54.73,69.03,59.98,67.64,1992
marion,58.89,46.83,60.01,47.83,59,1992
medina,76.91,50.49,78.12,56.13,75.1,1992
meigs,38.74,34.93,39.31,36.52,39.2,1992
mercer,45.83,40.67,44.45,38.69,45.69,1992
miami,57.34,37.72,57.08,40.14,57.3,1992
monroe,45.39,34.55,44.71,39.05,44.37,1992
montgomery,75.5,51.01,72.83,54.36,72.21,1992
morgan,43.53,34.74,42.39,33.45,41.95,1992
morrow,56.62,49.77,59.68,49.23,58.59,1992
muskingum,56.62,40.14,56.92,41.46,56.53,1992
noble,40.42,37.26,40.5,37.83,40.07,1992
ottawa,62.05,37.75,58.94,38.67,47.44,1992
paulding,54.41,50.4,57.48,49.51,54.22,1992
perry,56.24,45.24,57.05,47.12,56.15,1992
pickaway,47.42,39.66,48.36,41.26,46.75,1992
pike,56.92,45.16,63.87,49.04,57.45,1992
portage,78.21,48.67,80.48,56.35,77.7,1992
preble,51.36,45.84,52.16,41.02,51.87,1992
putnam,46.83,42.86,44.13,39.83,44.39,1992
richland,62.31,49.68,61,48,61.01,1992
ross,52.68,41.38,54.43,42.11,53.63,1992
sandusky,51.74,40.56,49.83,40.77,50.43,1992
scioto,54.33,44.05,56.45,47.21,53.49,1992
seneca,53.13,43.06,53.45,46.29,53.35,1992
shelby,47.05,36.93,47.13,36.07,45.25,1992
stark,64.59,43.68,63.97,45.66,62.37,1992
summit,71.77,52.87,69.43,49.69,69.19,1992
trumbull,62.76,52.18,60.59,51.96,61.87,1992
tuscarawas,52.62,40.94,53.15,44.94,52.18,1992
union,54.79,48.24,53.26,46.93,52.75,1992
van wert,55.92,47.08,57.05,48.07,56.64,1992
vinton,39.13,36.81,39.65,37.95,38.07,1992
warren,63.21,41.66,62.36,41.24,63.23,1992
washington,44.78,36.78,44.65,38.81,44.5,1992
wayne,60.65,46.36,62.81,47.38,61.54,1992
williams,62.88,45.31,63.35,47.5,62.73,1992
wood,67.63,49.86,66.49,53.05,64.37,1992
wyandot,53.92,43.92,54.98,42.48,54.28,1992
adams,39.5,34.49,36.76,33.48,35.46,1993
allen,49.76,41.78,48.48,42.06,47.34,1993
ashland,59.27,46,58.55,46.08,56.5,1993
ashtabula,64.09,50.02,65.19,51.6,62.25,1993
athens,73.71,52.3,77.32,54.88,68.16,1993
auglaize,52.15,44.39,51.62,44.99,49.67,1993
belmont,54.65,44.83,53.31,45.19,50.51,1993
brown,48.2,41.41,50.12,42.84,46.39,1993
butler,59.06,42.76,58.58,44.01,54.05,1993
carroll,48.22,35.76,49.23,35.98,46.15,1993
champaign,54.94,39.71,57.81,43.19,53.76,1993
clark,64.26,45.05,65.82,50.45,62.74,1993
clermont,67.55,45.59,65.52,45.64,58.01,1993
clinton,51.68,45.27,53.14,46.71,49.96,1993
columbiana,58.94,45.22,60.29,43.37,56.68,1993
coshocton,49.39,39.7,49.84,39.5,43.41,1993
crawford,62.35,46.65,62.47,46.15,59.25,1993
cuyahoga,92.83,56.37,84.55,62.58,78.76,1993
darke,44.99,38.78,46.62,38,43.6,1993
defiance,52.34,44.89,52.56,44.41,51.47,1993
delaware,59.56,48.26,58.16,47.01,55.54,1993
erie,73.67,47.21,73.17,51.19,69.85,1993
fairfield,70.4,44.23,71.54,44.53,64.21,1993
fayette,47.47,40.59,51.36,42.28,45.81,1993
franklin,80.73,59.29,76.64,57.96,74.05,1993
fulton,64.3,50.26,62.35,46.72,60.39,1993
gallia,39.07,35.55,38.19,35.41,35.81,1993
geauga,84.76,53.75,84.77,59.2,78.73,1993
greene,69.84,46.96,68.15,46.33,64.97,1993
guernsey,61.67,52.98,64.62,58.06,60.59,1993
hamilton,77.72,54.19,76.89,59.78,71.65,1993
hancock,52.53,38.43,53.14,44.09,48.81,1993
hardin,53.28,46.72,53.88,42.5,51.19,1993
harrison,55.8,45.03,56.08,46.52,54.13,1993
henry,55.71,49.81,55.15,48.21,54.23,1993
highland,43.69,36.91,42.96,35.36,41.99,1993
hocking,56.63,43.07,56.6,42.36,55.06,1993
holmes,50.19,42.3,51.77,44.21,47.54,1993
huron,57.28,39.3,59.02,42.17,55.72,1993
jackson,43.73,41.08,45.56,43.21,41.2,1993
jefferson,50.94,39.64,49.68,44.62,46.55,1993
knox,56.14,46.1,53.67,45.92,51.75,1993
lake,81.38,50.49,77.43,51.92,73.46,1993
lawrence,39.79,36.57,40.66,36.2,38.5,1993
licking,56.77,43.52,53.61,44.01,51.21,1993
logan,56.13,40.42,58.01,44.75,52.66,1993
lorain,72.15,51.53,73.04,56.61,70.5,1993
lucas,84.3,57.18,80.91,61.16,76.29,1993
madison,53.5,46.92,57.01,50.74,51.66,1993
mahoning,70.13,57.24,71.47,62.39,66.95,1993
marion,61.4,47.98,61.55,49.34,59.83,1993
medina,80.12,50.73,81.28,58.98,74.69,1993
meigs,40.23,36.34,40.8,37.66,39.73,1993
mercer,45.69,40.62,44.72,39.01,42.4,1993
miami,62.09,39.85,60.87,42.26,59.42,1993
monroe,45.22,33.7,44.47,38.53,43.67,1993
montgomery,78.04,53.63,76.47,58.27,73.64,1993
morgan,45.3,36.47,44.25,35.37,43.32,1993
morrow,58.52,51.87,62.14,52.05,59.34,1993
muskingum,56.66,40.19,56.97,41.5,54.15,1993
noble,46.73,43.42,44.97,42.27,45.87,1993
ottawa,61.91,37.83,56.3,37.18,46.38,1993
paulding,53.89,47.77,57.14,49.22,51.35,1993
perry,56.34,45.09,57.17,47.23,54.09,1993
pickaway,48.9,41.12,48.75,41.6,46.99,1993
pike,57.74,46.27,64.7,50.19,56.52,1993
portage,79.09,49.94,80.73,57.21,75.48,1993
preble,50.09,44.55,51.24,40,49.23,1993
putnam,45.66,41.59,43.3,39,41.52,1993
richland,64.52,51.85,63.96,50.91,61.72,1993
ross,52.58,41.34,53.89,41.87,51.93,1993
sandusky,51.75,40.65,49.93,40.96,49.02,1993
scioto,54.14,41.86,56.25,43.6,51.43,1993
seneca,54.41,44.16,54.84,47.63,53.08,1993
