year,county,real_property_value,public_utility_property_value,tangible_property_value,total_property_value,real_property_tax,public_utility_property_tax,tangible_property_tax,total_property_tax,special_assessments,residential_taxable_value,agricultural_taxable_value,industrial_taxable_value,commercial_taxable_value,mineral_taxable_value,total_taxable_value,parcels,acres_cauv,cauv_taxable,market_value_taxable,appraisal,res_ag_gross_millage,res_ag_net_millage,public_gross_millage,public_net_millage,tangible_millage,tangible_property_delinquent,real_property_delinquent,special_delinquent,total_delinquent,update_year,noncauv_taxable,cauv_tax,cauv_tax_acre,noncauv_tax,noncauv_tax_acre
1985,pike,NA,NA,NA,NA,NA,NA,NA,NA,NA,58477700,26846540,1854580,11015050,0,98193870,3263,134584,9915060,26506430,NA,50.86,37.13,56.15,39.4,49.71,NA,NA,NA,NA,2017,16931480,368146.1778,2.735437925756405,628665.8524000001,4.671178241098497
1985,portage,NA,NA,NA,NA,NA,NA,NA,NA,NA,563289450,66311110,41150580,109780530,8821760,789353430,2815,114724,13282540,37950120,update,68.82,46.71,69.76,52.14,63.87,NA,NA,NA,NA,2018,53028570,620427.4434,5.408000448031798,2476964.5047,21.59063931435445
1985,preble,NA,NA,NA,NA,NA,NA,NA,NA,NA,150360310,77454890,8453310,18649310,0,254917820,3502,229164,47250210,134997340,NA,46.58,40.96,48.4,36.66,45.08,NA,NA,NA,NA,2017,30204680,1935368.6016000002,8.445343080064932,1237183.6928,5.398682571433559
1985,putnam,NA,NA,NA,NA,NA,NA,NA,NA,NA,105043020,93104990,6418520,17551180,0,222117710,7616,289362,59543970,170125240,NA,45.05,40.65,42.9,38.45,36.77,NA,NA,NA,NA,2017,33561020,2420462.3805,8.364824615879073,1364255.463,4.714701526116076
1985,richland,NA,NA,NA,NA,NA,NA,NA,NA,NA,522898930,64881060,70391200,155798250,0,813969440,5220,226511,33077570,94503180,NA,58.23,46.51,56.86,43.6,53.43,NA,NA,NA,NA,2017,31803490,1538437.7806999998,6.791889933380718,1479180.3198999998,6.53028029499671
1985,ross,NA,NA,NA,NA,NA,NA,NA,NA,NA,223183360,75819680,34499650,54375650,0,387878340,3050,291981,36976330,105644430,NA,52.01,39.24,53.78,40.04,51.58,NA,NA,NA,NA,2016,38843350,1450951.1892000001,4.9693342690106554,1524213.0540000002,5.2202473928098065
1985,sandusky,NA,NA,NA,NA,NA,NA,NA,NA,NA,244298230,85343450,26949180,49537130,45290,406173280,4717,224097,48323730,138067820,reappraisal,48.48,38.8,46.53,40.86,44.8,NA,NA,NA,NA,2018,37019720,1874960.7239999997,8.36673727894617,1436365.1359999997,6.409568784945804
1985,scioto,NA,NA,NA,NA,NA,NA,NA,NA,NA,208171670,37460160,19134510,52442560,0,317208900,2550,113304,5580730,15944940,NA,47.37,35.99,48.81,39.85,40.3,NA,NA,NA,NA,2016,31879430,200850.4727,1.772668861646544,1147340.6857,10.126215188342865
1985,seneca,NA,NA,NA,NA,NA,NA,NA,NA,NA,203224940,95599590,27658310,37599090,28550,364110480,5895,323885,57161850,163316380,NA,46.21,35.66,45.12,37.62,43.59,NA,NA,NA,NA,2017,38437740,2038391.5709999998,6.293565836639547,1370689.8084,4.232026208067678
1985,shelby,NA,NA,NA,NA,NA,NA,NA,NA,NA,148985140,74238970,30797350,33789920,0,287811380,5250,235872,45556400,130157310,NA,44.71,35.88,45.16,33.71,42.56,NA,NA,NA,NA,2017,28682570,1634563.632,6.929875661375661,1029130.6116000001,4.363089351851852
1985,stark,NA,NA,NA,NA,NA,NA,NA,NA,NA,1734374750,132276150,153137320,448896250,22582160,2491266630,3253,125931,20108730,57449320,update,55.43,38.64,55.02,39.36,51.34,NA,NA,NA,NA,2018,112167420,777001.3272,6.170056040212498,4334149.1088000005,34.41685612597375
1985,summit,NA,NA,NA,NA,NA,NA,NA,NA,NA,2582293020,53218380,201756980,789154560,7706150,3634129090,283,15188,2786840,7962370,NA,64.6,49.93,62.87,47.14,58.61,NA,NA,NA,NA,2017,50431540,139146.9212,9.161635580721622,2518046.7922,165.79186148274954
1985,trumbull,NA,NA,NA,NA,NA,NA,NA,NA,NA,1005140180,100807500,131853940,239712730,6039440,1483553790,NA,NA,NA,NA,NA,55.58,44.82,53.64,44.45,51.2,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA
1985,tuscarawas,NA,NA,NA,NA,NA,NA,NA,NA,NA,280207490,75068610,31707490,75111920,9862930,471958440,6113,213422,15383550,43953050,NA,46.39,34.41,46.71,38.44,42.95,NA,NA,NA,NA,2016,59685060,529347.9554999999,2.48028767184264,2053762.9145999998,9.623014096953453
1985,union,NA,NA,NA,NA,NA,NA,NA,NA,NA,113424770,83894800,27052260,27433790,0,251805620,4493,246417,48628690,138929740,NA,50.05,40.48,46.4,39.06,43.53,NA,NA,NA,NA,2016,35266110,1968489.3711999997,7.988447920395101,1427572.1327999998,5.7933183700799855
1985,van wert,NA,NA,NA,NA,NA,NA,NA,NA,NA,95548880,77058860,14148370,20206790,3040,206965940,4272,247794,55573990,158782210,NA,48.69,41.77,48.18,39.23,44.41,NA,NA,NA,NA,2017,21484870,2321325.5623,9.367965173894444,897423.0199000001,3.6216495149196515
1985,vinton,NA,NA,NA,NA,NA,NA,NA,NA,NA,24484070,21980330,4938890,2847190,1994410,56244890,58,10211,707330,2020880,reappraisal,36.69,33.48,36.48,33.98,33.58,NA,NA,NA,NA,2018,21273000,23681.408399999997,2.3192056018019778,712220.0399999999,69.75027323474683
1985,warren,NA,NA,NA,NA,NA,NA,NA,NA,NA,513978510,65794270,22104530,117774950,0,719652260,3455,171790,31335070,89521550,update,57.24,40.25,55.68,39.35,52.95,NA,NA,NA,NA,2018,34459200,1261236.5675000001,7.341734486873509,1386982.8,8.073710926130742
1985,washington,NA,NA,NA,NA,NA,NA,NA,NA,NA,203295080,62876760,33762580,53421420,3287220,356643060,4696,145630,7697070,21991240,NA,41.84,33.05,41.71,35.03,38.04,NA,NA,NA,NA,2016,55179690,254388.16349999997,1.7468115326512392,1823688.7544999998,12.522754614433838
1985,wayne,NA,NA,NA,NA,NA,NA,NA,NA,NA,473646100,132494270,48740420,89756370,5164410,749801570,5471,247146,41461400,118457150,NA,53.36,38.7,55.75,41.82,52.49,NA,NA,NA,NA,2017,91032870,1604556.1800000002,6.492341288145469,3522972.0690000006,14.254619006579109
1985,williams,NA,NA,NA,NA,NA,NA,NA,NA,NA,122870590,63039390,20493790,24501690,0,230905460,4040,238422,42776870,122218730,update,55.64,37.98,54.84,40.07,51.31,NA,NA,NA,NA,2018,20262520,1624665.5226,6.814243327377508,769570.5096,3.2277663537760777
1985,wood,NA,NA,NA,NA,NA,NA,NA,NA,NA,428207880,116673210,61300640,129825860,9500,736017090,8460,337128,87215730,249181730,NA,56.29,41.83,54.54,43.05,49.98,NA,NA,NA,NA,2017,29457480,3648233.9858999997,10.821509889122233,1232206.3884,3.6550105253790846
1985,wyandot,NA,NA,NA,NA,NA,NA,NA,NA,NA,68792410,66797570,10364790,12133470,560,158088800,5053,236061,43471890,124204320,NA,45.9,34.16,46.59,35.05,42.68,NA,NA,NA,NA,2016,23325680,1484999.7624,6.290745876701361,796805.2287999999,3.3754208818906974
