soil_series,texture,slope,erosion,drainage,year,cropland,woodland,indx,id,soil_region,corn_base,soy_base,wheat_base,oats_base,hay_base,prod_index,prod_index_new,indx_new
BELMORE,SL,1-4,S,W,2009,200,100,indx_69,BELMORESL1-4SW,2,94,29,39,78,3.9,65,62,indx_69
BELMORE,SL,1-6,S,W,2009,190,100,indx_69,BELMORESL1-6SW,2,90,28,38,76,3.8,63,60,indx_69
BELMORE,SL,2-6,S,W,2009,190,100,indx_69,BELMORESL2-6SW,2,89,28,37,74,3.7,62,59,indx_59
BELMORE,SL,6-12,S,W,2009,180,100,indx_69,BELMORESL6-12SW,2,85,27,36,71,3.6,60,57,indx_59
"BELMORE,T-SUBST",L,2-6,S,W,2009,320,100,indx_69,"BELMORE,T-SUBSTL2-6SW",2,92,29,38,77,3.8,64,61,indx_69
BELPRE,C,12-18,S,W,2009,170,100,indx_59,BELPREC12-18SW,3,80,25,28,52,3.5,54,51,indx_59
BELPRE,C,18-25,S,W,2009,170,100,indx_49,BELPREC18-25SW,3,0,0,0,0,2.5,42,0,indx_49
BELPRE,C,6-12,S,W,2009,330,100,indx_69,BELPREC6-12SW,2,85,30,32,56,4,61,57,indx_59
BENNINGTON,L,0-2,S,SWP,2009,540,100,indx_69,BENNINGTONL0-2SSWP,2,106,36,42,70,4,69,71,indx_79
BENNINGTON,SIL,0-2,S,SWP,2009,540,100,indx_69,BENNINGTONSIL0-2SSWP,2,106,36,42,70,4,69,71,indx_79
BENNINGTON,SIL,0-3,S,SWP,2009,540,100,indx_69,BENNINGTONSIL0-3SSWP,2,106,36,42,70,4,69,71,indx_79
BENNINGTON,SIL,2-4,S,SWP,2009,530,100,indx_69,BENNINGTONSIL2-4SSWP,2,103,35,41,67,3.9,67,69,indx_69
BENNINGTON,SIL,2-6,M,SWP,2009,410,100,indx_69,BENNINGTONSIL2-6MSWP,2,98,32,38,62,3.6,63,65,indx_69
BENNINGTON,SIL,2-6,S,SWP,2009,530,100,indx_69,BENNINGTONSIL2-6SSWP,2,102,34,40,66,3.8,66,68,indx_69
BENNINGTON-FITCHVILLE,SIL,2-6,S,SWP,2009,560,100,indx_69,BENNINGTON-FITCHVILLESIL2-6SSWP,2,100,34,40,72,4,67,67,indx_69
"BENNINGTON-PYRMONT,LM-SUBST",SIL,0-2,S,SWP,2009,200,100,indx_69,"BENNINGTON-PYRMONT,LM-SUBSTSIL0-2SSWP",2,90,29,44,78,3.8,65,63,indx_69
BENNINGTON-TIRO,SIL,0-2,S,SWP,2009,440,100,indx_69,BENNINGTON-TIROSIL0-2SSWP,2,96,36,42,74,3.6,65,67,indx_69
"BENNINGTON,SH-SUBST",SIL,0-2,S,SWP,2009,450,100,indx_69,"BENNINGTON,SH-SUBSTSIL0-2SSWP",2,100,35,40,75,4,68,67,indx_69
"BENNINGTON,SH-SUBST",SIL,2-6,S,SWP,2009,420,100,indx_69,"BENNINGTON,SH-SUBSTSIL2-6SSWP",2,95,30,40,75,4,66,63,indx_69
BERKS,CH-SIL,2-8,S,W,2009,190,100,indx_59,BERKSCH-SIL2-8SW,3,83,17,35,48,3.5,54,52,indx_59
BERKS,CN-SIL,0-6,S,W,2009,200,100,indx_59,BERKSCN-SIL0-6SW,3,84,17,35,48,3.5,54,52,indx_59
BERKS,CN-SIL,12-18,S,W,2009,170,100,indx_49,BERKSCN-SIL12-18SW,3,72,15,30,42,2.8,45,45,indx_49
BERKS,CN-SIL,12-20,S,W,2009,170,100,indx_49,BERKSCN-SIL12-20SW,3,71,15,30,42,2.8,45,45,indx_49
BERKS,CN-SIL,15-25,M,W,2009,170,100,indx_49,BERKSCN-SIL15-25MW,3,67,0,29,32,2.4,42,37,indx_49
BERKS,CN-SIL,15-25,S,W,2009,170,100,indx_49,BERKSCN-SIL15-25SW,3,70,0,30,33,2.5,44,38,indx_49
BERKS,CN-SIL,2-6,S,W,2009,190,100,indx_59,BERKSCN-SIL2-6SW,3,83,17,35,48,3.5,54,52,indx_59
BERKS,CN-SIL,2-8,S,W,2009,190,100,indx_59,BERKSCN-SIL2-8SW,3,82,17,35,48,3.5,54,51,indx_59
BERKS,CN-SIL,6-12,S,W,2009,180,100,indx_59,BERKSCN-SIL6-12SW,3,78,17,33,46,3.5,53,49,indx_49
BERKS,CN-SIL,6-15,S,W,2009,180,100,indx_59,BERKSCN-SIL6-15SW,3,77,16,32,0,3.4,52,48,indx_49
BERKS,CN-SIL,6-18,S,W,2009,170,100,indx_59,BERKSCN-SIL6-18SW,3,76,16,32,44,3.3,50,48,indx_49
BERKS,CN-SIL,8-15,S,W,2009,180,100,indx_59,BERKSCN-SIL8-15SW,3,76,16,32,44,3.3,50,48,indx_49
BERKS,SH-SIL,15-25,S,W,2009,170,100,indx_49,BERKSSH-SIL15-25SW,3,70,0,30,35,2.5,44,38,indx_49
BERKS,SH-SIL,3-8,S,W,2009,190,100,indx_59,BERKSSH-SIL3-8SW,3,81,17,34,47,3.4,53,51,indx_59
