county,parcels,acres_cauv,cauv,market_value,year,appraisal
harrison,1275,79062,3579410,9748200,1991,NA
henry,5132,247546,33869720,140246310,1991,NA
highland,6449,286627,19730120,63605150,1991,update
hocking,319,30557,1640140,5034070,1991,NA
holmes,5161,203513,13221570,68132850,1991,NA
huron,7845,272394,24610520,85934430,1991,update
jackson,1392,54108,2350200,7413960,1991,NA
jefferson,837,45179,1707730,5199650,1991,update
knox,4654,237020,13940570,59489770,1991,NA
lake,1122,20774,2235360,24533970,1991,update
lawrence,3418,95089,3481110,13032340,1991,NA
licking,4225,244497,20648870,101574870,1991,NA
logan,4143,250498,22266290,74054980,1991,NA
lorain,4421,153813,11266250,71838610,1991,update
