id,soil_series,texture,slope,erosion,drainage,prod_index,indx,cropland,woodland,year
BEASLEYSIL6-12MW,BEASLEY,SIL,6-12,M,W,67,indx_69,530,230,2017
"BEAUCOUP,OF-PHSICL0-2SVP","BEAUCOUP,OF-PH",SICL,0-2,S,VP,79,indx_79,2440,640,2017
BELMOREL0-2SW,BELMORE,L,0-2,S,W,67,indx_69,660,230,2017
BELMOREL12-18MW,BELMORE,L,12-18,M,W,54,indx_59,350,230,2017
BELMOREL12-18SW,BELMORE,L,12-18,S,W,56,indx_59,350,230,2017
BELMOREL1-4SW,BELMORE,L,1-4,S,W,65,indx_69,540,230,2017
BELMOREL2-6SW,BELMORE,L,2-6,S,W,64,indx_69,510,230,2017
BELMOREL6-12MW,BELMORE,L,6-12,M,W,59,indx_59,350,230,2017
BELMOREL6-12SW,BELMORE,L,6-12,S,W,61,indx_69,350,230,2017
BELMORESL0-2SW,BELMORE,SL,0-2,S,W,65,indx_69,530,230,2017
BELMORESL1-4SW,BELMORE,SL,1-4,S,W,65,indx_69,540,230,2017
BELMORESL1-6SW,BELMORE,SL,1-6,S,W,63,indx_69,400,230,2017
BELMORESL2-6SW,BELMORE,SL,2-6,S,W,62,indx_69,380,230,2017
BELMORESL6-12SW,BELMORE,SL,6-12,S,W,60,indx_69,350,230,2017
"BELMORE,T-SUBSTL2-6SW","BELMORE,T-SUBST",L,2-6,S,W,64,indx_69,510,230,2017
BELPREC12-18SW,BELPRE,C,12-18,S,W,54,indx_59,350,230,2017
BELPREC18-25SW,BELPRE,C,18-25,S,W,42,indx_49,350,230,2017
BELPREC6-12SW,BELPRE,C,6-12,S,W,61,indx_69,410,230,2017
BENNINGTON-FITCHVILLESIL2-6SSWP,BENNINGTON-FITCHVILLE,SIL,2-6,S,SWP,67,indx_69,1130,230,2017
BENNINGTONL0-2SSWP,BENNINGTON,L,0-2,S,SWP,69,indx_69,1400,230,2017
"BENNINGTON-PYRMONT,LM-SUBSTSIL0-2SSWP","BENNINGTON-PYRMONT,LM-SUBST",SIL,0-2,S,SWP,65,indx_69,490,230,2017
"BENNINGTON,SH-SUBSTSIL0-2SSWP","BENNINGTON,SH-SUBST",SIL,0-2,S,SWP,68,indx_69,1200,230,2017
"BENNINGTON,SH-SUBSTSIL2-6SSWP","BENNINGTON,SH-SUBST",SIL,2-6,S,SWP,66,indx_69,650,230,2017
BENNINGTONSIL0-2SSWP,BENNINGTON,SIL,0-2,S,SWP,69,indx_69,1400,230,2017
BENNINGTONSIL0-3SSWP,BENNINGTON,SIL,0-3,S,SWP,69,indx_69,1400,230,2017
BENNINGTONSIL2-4SSWP,BENNINGTON,SIL,2-4,S,SWP,67,indx_69,1260,230,2017
BENNINGTONSIL2-6MSWP,BENNINGTON,SIL,2-6,M,SWP,63,indx_69,900,230,2017
BENNINGTONSIL2-6SSWP,BENNINGTON,SIL,2-6,S,SWP,66,indx_69,1180,230,2017
BENNINGTON-TIROSIL0-2SSWP,BENNINGTON-TIRO,SIL,0-2,S,SWP,65,indx_69,1200,230,2017
"BERKS-AARON,C6-15SW","BERKS-AARON,C",,6-15,S,W,57,indx_59,350,230,2017
BERKSCH-SIL2-8SW,BERKS,CH-SIL,2-8,S,W,54,indx_59,350,230,2017
BERKSCN-SIL0-6SW,BERKS,CN-SIL,0-6,S,W,54,indx_59,350,230,2017
BERKSCN-SIL12-18SW,BERKS,CN-SIL,12-18,S,W,45,indx_49,350,230,2017
BERKSCN-SIL12-20SW,BERKS,CN-SIL,12-20,S,W,45,indx_49,350,230,2017
BERKSCN-SIL15-25MW,BERKS,CN-SIL,15-25,M,W,42,indx_49,350,230,2017
BERKSCN-SIL15-25SW,BERKS,CN-SIL,15-25,S,W,44,indx_49,350,230,2017
BERKSCN-SIL2-6SW,BERKS,CN-SIL,2-6,S,W,54,indx_59,350,230,2017
BERKSCN-SIL2-8SW,BERKS,CN-SIL,2-8,S,W,54,indx_59,350,230,2017
BERKSCN-SIL6-12SW,BERKS,CN-SIL,6-12,S,W,53,indx_59,350,230,2017
BERKSCN-SIL6-15SW,BERKS,CN-SIL,6-15,S,W,52,indx_59,350,230,2017
BERKSCN-SIL6-18SW,BERKS,CN-SIL,6-18,S,W,50,indx_59,350,230,2017
BERKSCN-SIL8-15SW,BERKS,CN-SIL,8-15,S,W,50,indx_59,350,230,2017
"BERKS-GUERNSEY,C.15-25SW","BERKS-GUERNSEY,C.",,15-25,S,W,48,indx_49,350,230,2017
"BERKS-GUERNSEY,C.8-15SW","BERKS-GUERNSEY,C.",,8-15,S,W,52,indx_59,350,230,2017
BERKS-MUSKINGUM-NEOTOMACN-SIL6-18SW,BERKS-MUSKINGUM-NEOTOMA,CN-SIL,6-18,S,W,43,indx_49,350,230,2017
BERKSSH-SIL15-25SW,BERKS,SH-SIL,15-25,S,W,44,indx_49,350,230,2017
BERKSSH-SIL3-8SW,BERKS,SH-SIL,3-8,S,W,53,indx_59,350,230,2017
BERKSSH-SIL8-15SW,BERKS,SH-SIL,8-15,S,W,50,indx_59,350,230,2017
BERKSSIL12-18SW,BERKS,SIL,12-18,S,W,47,indx_49,350,230,2017
BERKSSIL15-25SW,BERKS,SIL,15-25,S,W,45,indx_49,350,230,2017
BERKSSIL18-25SW,BERKS,SIL,18-25,S,W,45,indx_49,350,230,2017
BERKSSIL3-8SW,BERKS,SIL,3-8,S,W,55,indx_59,350,230,2017
BERKSSTV-SIL15-25MW,BERKS,STV-SIL,15-25,M,W,0,indx_49,350,230,2017
