county,tangible_property_delinquent,real_property_delinquent,special_delinquent,total_delinquent,year
monroe,NA,922820,210278,1133098,2016
montgomery,NA,138855930,61701930,200557860,2016
morgan,NA,1587954,93888,1681842,2016
morrow,NA,4165294,366798,4532092,2016
muskingum,NA,13050033,3152943,16202976,2016
noble,NA,651215,31743,682958,2016
ottawa,NA,3788831,416811,4205642,2016
paulding,NA,1186655,199343,1385998,2016
perry,NA,6329859,192304,6522163,2016
pickaway,NA,3886477,213875,4100352,2016
pike,NA,4211838,48061,4259899,2016
portage,NA,10422202,978056,11400258,2016
preble,NA,2479881,506917,2986798,2016
putnam,NA,738534,218207,956741,2016
richland,NA,12694020,2322592,15016612,2016
ross,NA,4291858,98953,4390811,2016
sandusky,NA,3751512,556899,4308411,2016
scioto,NA,11349321,1472780,12822101,2016
seneca,NA,3542501,439817,3982318,2016
shelby,NA,1930611,183069,2113680,2016
stark,NA,25618031,12779275,38397306,2016
summit,NA,74001956,55268848,129270804,2016
trumbull,NA,34895424,4117786,39013210,2016
tuscarawas,NA,5152466,615253,5767719,2016
union,NA,4109514,537290,4646804,2016
van wert,NA,676481,148378,824859,2016
vinton,NA,2708068,103786,2811854,2016
warren,NA,11074924,626461,11701385,2016
washington,NA,5602018,116804,5718822,2016
wayne,NA,5893050,349204,6242254,2016
williams,NA,1846339,153283,1999622,2016
wood,NA,5645734,1268735,6914469,2016
wyandot,NA,1038856,54778,1093634,2016
